Código;Descrição;PGV;Empresa;Tipo Marca;Linha Marca;Embalagem;Marca;Vasilhame;Garrrafeira;ICMS;Tipo Roadshow;Peso Bruto Kg;Fator;Fator Hecto;Fator Hecto Comercial;Ind Palmtop;Grupo;Grupo Remuneração;EAN;Tab ICMS;Caixas Pallet;Nr Fator Conversão;Lastro;Fam. Embalagem SIV;Pauta PIS Litro;Pauta COFINS Litro;Caixas Pallet 1;Capacidade 1;Fat Ajust 1;Caixas Pallet 2;Capacidade 2;Fat Ajust 2;Caixas Pallet 3;Capacidade 3;Fat Ajust 3;Ordem de Carga;Estoque Minímo Puxada;Código Produto SAP;Vasilhame Fictício;NCM;Apura Royalties;Tipo Produto Royalties;CEST;EAN Trib;Código Unitário;Descrição unitária;Subtipo
0000002;GAS CARBONICO BRAHMA CILINDRO 1 KG;000299;  ;006 - GASES;009;004 - CILINDRO;00038;101173;000000;60;N  ;0001,000;001;00,000000;00,000000; ;015;008;;001;0168;000,50;;00024;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000039692;000000; 028112100;N;0;0000000;              ;00000002;GAS CARBONICO BRAHMA CILINDRO 1 KG                                ;012
0000003;MIST. SUBST. ODORIF. LIMAO BRAHMA BOMBONA 5L;000034;  ;003 - CONCENTRADO;009;005 - BOMBONA 5L;00041;000000;000000;10;   ;0001,000;001;00,050000;00,050000;N;000;000;;000;0000;000,00;;00023;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000000000;000000; 021069010;N;0;0000000;              ;00000003;MIST. SUBST. ODORIF. LIMAO BRAHMA BOMBONA 5L                      ;005
0000008;MIST. SUBST. ODORIF. TUTTI-FRUTTI DINDI BOMBONA 5L;000083;  ;003 - CONCENTRADO;002;005 - BOMBONA 5L;00043;000000;000000;10;   ;0001,000;001;00,050000;00,050000;N;000;000;;000;0000;000,00;;00023;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000000000;000000; 021069010;N;0;0000000;              ;00000008;MIST. SUBST. ODORIF. TUTTI-FRUTTI DINDI BOMBONA 5L                ;005
0000009;MIST. SUBST. ODORIF. GUARANA E2 BOMBONA 5L KIT C/2;000091;  ;003 - CONCENTRADO;002;005 - BOMBONA 5L;00044;000000;000000;10;   ;0001,000;001;00,100000;00,200000;N;000;000;;000;0000;000,00;;00023;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000000000;000000; 021069010;N;0;0000000;              ;00000009;MIST. SUBST. ODORIF. GUARANA E2 BOMBONA 5L KIT C/2                ;005
0000011;MIST. SUBST. ODORIF. LIMAO SEM MARCA BOMBONA 5L;000117;  ;003 - CONCENTRADO;002;005 - BOMBONA 5L;00046;000000;000000;10;   ;0001,000;001;00,050000;00,050000;N;000;000;;000;0000;000,00;;00023;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000000000;000000; 021069010;N;0;0000000;              ;00000011;MIST. SUBST. ODORIF. LIMAO SEM MARCA BOMBONA 5L                   ;005
0000012;BRAHMA CHOPP LATA 250ML BANDEJA C/24 IPTC;038026;  ;001 - CERVEJA;001;003 - LATA 250;00004;000000;000000;10;   ;0009,120;024;00,060000;00,060000;N;000;000;;000;0000;000,00;;00062;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000000000;000000; 022030000;N;0;0302100;              ;00007002;BRAHMA CHOPP LATA 250ML IPTC                                      ;001
0000013;BRAHMA GUARANA DIET MIX POST-MIX 18L;000133;  ;002 - REFRIGERANTE;009;016 - POST-MIX;00025;052044;000000;10;   ;0026,900;001;00,060000;00,180000;N;000;000;;000;0000;000,00;;00013;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000000000;000000; 022021000;N;0;0000000;              ;00000013;BRAHMA GUARANA DIET MIX POST-MIX 18L                              ;004
0000014;BRAHMA CHOPP LATA 350ML PLASTISIX BANDEJA C/4;007112;  ;001 - CERVEJA;001;032 - LATA 355;00004;000000;000000;10;   ;0009,020;024;00,084000;00,084000;N;000;000;7891149010561 ;000;0000;000,00;;00005;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000000000;000000; 022030000;N;0;0302103;7891149010509 ;00007000;BRAHMA CHOPP LATA 350 ML                                          ;001
0000015;MIST. SUBST. ODORIF. MACA BOMBONA 5L;000158;  ;003 - CONCENTRADO;002;005 - BOMBONA 5L;00096;000000;000000;10;   ;0005,300;001;00,050000;00,050000;N;000;000;;000;0000;000,00;;00023;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000000000;000000; 021069010;N;0;0000000;              ;00000015;MIST. SUBST. ODORIF. MACA BOMBONA 5L                              ;005
0000016;GAS CARBONICO SKOL CILINDRO 20 KG;000182;  ;006 - GASES;003;004 - CILINDRO;00039;100001;000000;60;   ;0001,000;001;00,000000;00,000000; ;015;008;;001;0000;000,00;;00024;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000000000;000000; 028112100;N;0;0000000;              ;00000016;GAS CARBONICO SKOL CILINDRO 20 KG                                 ;012
0000017;GAS CARBONICO SKOL GRANEL;000174;GE;006 - GASES;003;006 - SEM EMBALAGEM;00039;000000;000000;60;   ;0001,000;001;00,000000;00,000000; ;015;001;;001;0000;000,00;;00030;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00170;0000000;000000000;000000; 028112100;N;0;0000000;              ;00000017;GAS CARBONICO SKOL GRANEL                                         ;012
0000018;GAS CARBONICO SKOL CILINDRO 18 KG;000182;  ;006 - GASES;003;004 - CILINDRO;00039;100007;000000;60;N  ;0001,000;001;00,000000;00,000000; ;015;008;7891149101610 ;001;0168;000,50;;00024;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000000000;000000; 028112100;N;0;0000000;7891149101610 ;00000018;GAS CARBONICO SKOL CILINDRO 18 KG                                 ;012
0000019;GAS CARBONICO SKOL CILINDRO 25 KG;000182;  ;006 - GASES;003;004 - CILINDRO;00039;100002;000000;60;   ;0001,000;001;00,000000;00,000000; ;015;008;;001;0000;000,00;;00024;00000,0000;00000,0000;000;0000;00,000;000;0000;00,000;000;0000;00,000;00000;0000000;000000000;000000; 028112100;N;0;0000000;              ;00000019;GAS CARBONICO SKOL CILINDRO 25 KG                                 ;012
