Unb;Mapa;Veiculo;Armazem;Nome Armazem;Cliente;Nome;Endereco;Bairro;Cidade;Cd.Vdr;Pedido;Tipo Mov;Peso Bruto;Hr.Min;Hr.Max;Situacao;
0001;     1;         ;  ;                    ;         226;S5 - SILVA INDAIA   ;AV  RIO BRANCO                    400   ;INDAIA              ;CARAGUATATUBA       ;  406;504845;VENDA      ;   1900,93;00:00;00:00;Preservado Pré RS
0001;     1;         ;  ;                    ;         226;S5 - SILVA INDAIA   ;AV  RIO BRANCO                    400   ;INDAIA              ;CARAGUATATUBA       ;  406;504868;VENDA      ;   1649,17;00:00;00:00;Preservado Pré RS
0001;     1;         ;  ;                    ;         226;S5 - SILVA INDAIA   ;AV  RIO BRANCO                    400   ;INDAIA              ;CARAGUATATUBA       ;  406;504846;BONIFICACAO;     67,60;00:00;00:00;Preservado Pré RS
0001;     1;         ;  ;                    ;         226;S5 - SILVA INDAIA   ;AV  RIO BRANCO                    400   ;INDAIA              ;CARAGUATATUBA       ;  406;504869;BONIFICACAO;    174,36;00:00;00:00;Preservado Pré RS
0001;     1;         ;  ;                    ;         571;MERCADO TIA LENA    ;EST RIO ESCURO                    448   ;RIO ESCURO          ;UBATUBA             ;  404;504664;VENDA      ;    225,93;00:00;00:00;Preservado Pré RS
0001;     1;         ;  ;                    ;         571;MERCADO TIA LENA    ;EST RIO ESCURO                    448   ;RIO ESCURO          ;UBATUBA             ;  404;504968;TROCA      ;      0,87;00:00;00:00;Preservado Pré RS
0001;     1;         ;  ;                    ;        1733;S5 - SEMAR LI 12    ;R   CAPITAO LUIZ SOARES           466   ;CENTRO              ;SAO SEBASTIAO       ;  406;504369;VENDA      ;    994,67;00:00;00:00;Preservado Pré RS
0001;     1;         ;  ;                    ;        2998;S5 - SEMAR LI 14    ;R   DONA MARIA ALVES              715   ;CENTRO              ;UBATUBA             ;  407;504372;VENDA      ;   1276,48;00:00;00:00;Preservado Pré RS
0001;     1;         ;  ;                    ;        6600;SUPERM CANTO BRAVO  ;AV  PROFESSORA ADALI COELHO PASSOS690   ;PRAINHA             ;CARAGUATATUBA       ;  406;504750;VENDA      ;   1137,52;00:00;00:00;Preservado Pré RS
0001;     1;         ;  ;                    ;        6628;MERCADO BR 101      ;R   MARIA DE LOURDES PERES DOS SAN213   ;ESTUFA 1            ;UBATUBA             ;  404;504879;VENDA      ;   1052,68;00:00;00:00;Preservado Pré RS
0001;     1;         ;  ;                    ;        6628;MERCADO BR 101      ;R   MARIA DE LOURDES PERES DOS SAN213   ;ESTUFA 1            ;UBATUBA             ;  404;504971;TROCA      ;      0,36;00:00;00:00;Preservado Pré RS
